captured_at,pv_power_w,grid_power_w,battery_power_w,home_power_w,soc_pct
2026-09-22T00:00:00-03:00,0,320,-100,220,72
2026-09-22T01:00:00-03:00,0,300,-80,220,71.5
2026-09-22T02:00:00-03:00,0,280,-60,220,71.2
2026-09-22T03:00:00-03:00,0,260,0,260,71.2
2026-09-22T04:00:00-03:00,0,240,40,280,71.4
2026-09-22T05:00:00-03:00,0,220,70,290,71.8
2026-09-22T06:00:00-03:00,80,180,100,300,72.5
2026-09-22T07:00:00-03:00,420,80,120,320,73.5
2026-09-22T08:00:00-03:00,1200,-40,100,1060,74.5
2026-09-22T09:00:00-03:00,2400,-180,80,1300,75.5
2026-09-22T10:00:00-03:00,3600,-420,120,1300,77
2026-09-22T11:00:00-03:00,4600,-650,180,1250,78.5
2026-09-22T12:00:00-03:00,5200,-900,220,1080,80
2026-09-22T13:00:00-03:00,5000,-820,160,1180,81.5
2026-09-22T14:00:00-03:00,4400,-600,80,1400,83
2026-09-22T15:00:00-03:00,3500,-300,-80,1280,84
2026-09-22T16:00:00-03:00,2300,40,-160,1200,83.5
2026-09-22T17:00:00-03:00,1100,180,-120,1100,82.5
2026-09-22T18:00:00-03:00,300,420,-80,640,81.5
2026-09-22T19:00:00-03:00,0,620,-120,500,80.5
2026-09-22T20:00:00-03:00,0,700,-100,600,79.8
2026-09-22T21:00:00-03:00,0,580,-60,520,79.3
2026-09-22T22:00:00-03:00,0,500,0,500,79.3
2026-09-22T23:00:00-03:00,0,420,40,460,79.5
