captured_at,ambient_c
2026-09-22T00:00:00-03:00,17.8
2026-09-22T01:00:00-03:00,17.4
2026-09-22T02:00:00-03:00,17.1
2026-09-22T03:00:00-03:00,16.9
2026-09-22T04:00:00-03:00,16.8
2026-09-22T05:00:00-03:00,17.0
2026-09-22T06:00:00-03:00,17.5
2026-09-22T07:00:00-03:00,18.4
2026-09-22T08:00:00-03:00,19.6
2026-09-22T09:00:00-03:00,21.0
2026-09-22T10:00:00-03:00,22.6
2026-09-22T11:00:00-03:00,24.0
2026-09-22T12:00:00-03:00,25.2
2026-09-22T13:00:00-03:00,26.0
2026-09-22T14:00:00-03:00,26.5
2026-09-22T15:00:00-03:00,26.2
2026-09-22T16:00:00-03:00,25.4
2026-09-22T17:00:00-03:00,24.2
2026-09-22T18:00:00-03:00,22.8
2026-09-22T19:00:00-03:00,21.6
2026-09-22T20:00:00-03:00,20.6
2026-09-22T21:00:00-03:00,19.8
2026-09-22T22:00:00-03:00,19.2
2026-09-22T23:00:00-03:00,18.6
